epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
91,3.94863366,14.283288,14.998274,15.274422,0.0793892626,6.716820
92,3.90001059,14.656929,15.895754,15.895754,0.0789640586,6.732145
93,3.91370577,14.809783,15.878495,15.895754,0.0785356784,6.658513
94,3.91745726,14.538043,16.361754,16.361754,0.0781041689,6.903786
95,3.93139495,13.434103,16.655161,16.655161,0.0776695775,6.853928
96,3.88389716,14.945652,12.633759,16.655161,0.0772319518,6.880991
97,3.87792939,14.334239,16.810494,16.810494,0.0767913397,6.858469
98,3.84984415,15.268342,17.518122,17.518122,0.0763477898,6.827912
99,3.84097308,16.151495,16.655161,17.518122,0.0759013505,6.969648
100,3.84799669,15.268342,17.207456,17.518122,0.0754520708,6.970138
101,3.82282627,16.236413,16.948567,17.518122,0.0750000000,7.126571
102,3.81418752,15.811821,17.172938,17.518122,0.0745451877,6.892820
103,3.83408203,15.438179,16.741457,17.518122,0.0740876837,6.887790
104,3.83494276,16.134511,17.690715,17.690715,0.0736275382,7.586800
105,3.76703702,17.255435,20.383155,20.383155,0.0731648018,6.955742
106,3.76434725,17.255435,18.139455,20.383155,0.0726995250,7.173608
107,3.76490705,16.694973,18.208492,20.383155,0.0722317590,6.868829
108,3.77048187,17.017663,18.243010,20.383155,0.0717615550,6.871572
109,3.74574926,17.408288,18.173973,20.383155,0.0712889646,6.997650
110,3.72921608,17.629076,18.916120,20.383155,0.0708140396,6.950375
111,3.72098479,17.680027,19.589230,20.383155,0.0703368322,7.013745
112,3.71754145,17.340353,18.726269,20.383155,0.0698573945,6.869116
113,3.72319098,16.898777,18.639972,20.383155,0.0693757793,6.896095
114,3.71949610,17.153533,19.761823,20.383155,0.0688920393,7.042648
115,3.66540521,18.223505,17.483604,20.383155,0.0684062276,6.861341
116,3.63571907,18.902853,19.606489,20.383155,0.0679183975,7.041376
117,3.68041320,18.325408,20.659303,20.659303,0.0674286024,7.723607
118,3.67194697,18.682065,19.606489,20.659303,0.0669368960,7.032831
119,3.66958431,18.546196,18.553676,20.659303,0.0664433323,6.944652
120,3.62808378,19.887908,20.780117,20.780117,0.0659479655,6.973653
121,3.68115970,18.376359,18.450121,20.780117,0.0654508497,6.938890
122,3.58959355,19.497283,21.090784,21.090784,0.0649520396,6.955216
123,3.65442270,19.021739,19.192268,21.090784,0.0644515898,6.817996
124,3.58904504,19.667120,22.195375,22.195375,0.0639495553,6.782069
125,3.59735644,19.412364,20.831895,22.195375,0.0634459910,6.754328
126,3.59375600,19.344429,20.176044,22.195375,0.0629409523,6.971819
127,3.58692974,19.921875,22.057301,22.195375,0.0624344944,6.739924
128,3.54731303,20.838995,21.470487,22.195375,0.0619266729,6.723305
129,3.57901922,20.159647,20.452192,22.195375,0.0614175435,6.875180
130,3.59926275,19.616168,20.952710,22.195375,0.0609071621,6.680666
131,3.55036670,20.533288,20.417673,22.195375,0.0603955845,6.873619
132,3.52124115,20.584239,24.042113,24.042113,0.0598828670,7.218652
133,3.54373423,20.329484,22.367967,24.042113,0.0593690657,6.859760
134,3.51945704,21.076766,21.901968,24.042113,0.0588542370,6.928680
135,3.49511037,21.399457,20.987228,24.042113,0.0583384373,6.885548
136,3.48498664,21.841033,23.558854,24.042113,0.0578217233,6.881630
137,3.49120140,21.263587,20.331377,24.042113,0.0573041514,6.856246
138,3.48135581,20.669158,23.507076,24.042113,0.0567857786,6.715029
139,3.48144825,21.450408,23.144632,24.042113,0.0562666617,6.791862
140,3.47078312,22.129755,21.505005,24.042113,0.0557468575,6.770119
141,3.42922496,22.503397,22.091819,24.042113,0.0552264232,6.754236
142,3.44982279,22.333560,22.419745,24.042113,0.0547054157,6.780322
143,3.44846513,21.858016,20.900932,24.042113,0.0541838922,6.792201
144,3.37628778,22.707201,23.645150,24.042113,0.0536619099,6.813058
145,3.44472576,22.860054,23.731446,24.042113,0.0531395260,6.757495
146,3.46233980,22.044837,23.869520,24.042113,0.0526167978,6.654787
147,3.37215043,23.641304,23.576113,24.042113,0.0520937827,6.930879
148,3.42810262,23.199728,23.835002,24.042113,0.0515705380,6.918995
149,3.41687014,22.792120,23.351743,24.042113,0.0510471210,6.871997
150,3.41322310,22.622283,23.524336,24.042113,0.0505235892,7.081124
151,3.35870225,23.794158,23.541595,24.042113,0.0500000000,6.937382
152,3.36309728,23.471467,23.610632,24.042113,0.0494764108,7.008378
153,3.40592976,22.435462,22.730411,24.042113,0.0489528790,6.883992
154,3.33341949,24.371603,25.233000,25.233000,0.0484294620,6.891097
155,3.30795922,24.711277,24.715223,25.233000,0.0479062173,6.791087
156,3.34876546,24.218750,24.939593,25.233000,0.0473832022,6.872843
157,3.30545034,24.354620,25.457370,25.457370,0.0468604740,6.813314
158,3.32505269,24.745245,25.233000,25.457370,0.0463380901,6.979048
159,3.29178324,24.575408,24.663445,25.457370,0.0458161078,7.049684
160,3.33934605,24.626359,25.819814,25.819814,0.0452945843,6.878445
161,3.32532751,24.915082,24.214705,25.819814,0.0447735768,6.896631
162,3.26142627,26.052989,26.320331,26.320331,0.0442531425,6.839108
163,3.31599243,24.320652,25.612703,26.320331,0.0437333383,6.980998
164,3.25001464,25.594429,24.214705,26.320331,0.0432142214,6.755819
