epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
91,3.98100586,13.807745,14.307905,14.998274,0.0793892626,7.025809
92,3.92958889,14.402174,13.807387,14.998274,0.0789640586,7.155910
93,3.93506240,14.639946,15.447014,15.447014,0.0785356784,7.109944
94,3.94750148,14.096467,14.049016,15.447014,0.0781041689,7.275822
95,3.94623966,14.096467,16.689679,16.689679,0.0776695775,6.950477
96,3.89018326,15.234375,16.189161,16.689679,0.0772319518,6.904365
97,3.91854782,14.843750,15.999310,16.689679,0.0767913397,6.807311
98,3.87372624,14.775815,15.550570,16.689679,0.0763477898,6.075756
99,3.87762707,15.217391,16.517087,16.689679,0.0759013505,6.140365
100,3.88093920,14.809783,17.017604,17.017604,0.0754520708,6.167889
101,3.84460475,15.302310,16.206420,17.017604,0.0750000000,7.125291
102,3.83956366,15.591033,14.066275,17.017604,0.0745451877,7.928198
103,3.89025621,15.217391,15.533310,17.017604,0.0740876837,7.948821
104,3.85901090,15.336277,18.053158,18.053158,0.0736275382,7.833935
105,3.79832850,16.525136,17.673455,18.053158,0.0731648018,8.132816
106,3.80140417,16.253397,18.139455,18.139455,0.0726995250,8.097698
107,3.78299051,16.049592,15.429755,18.139455,0.0722317590,8.341822
108,3.79758007,16.677989,18.139455,18.139455,0.0717615550,8.725051
109,3.76376538,16.762908,17.500863,18.139455,0.0712889646,8.868307
110,3.75839802,17.408288,18.743528,18.743528,0.0708140396,8.392147
111,3.74561922,16.576087,19.209527,19.209527,0.0703368322,8.354712
112,3.73392444,17.544158,18.398343,19.209527,0.0698573945,8.216342
113,3.76223324,17.051630,19.502934,19.502934,0.0693757793,7.956667
114,3.74194907,16.694973,17.725233,19.502934,0.0688920393,8.011762
115,3.71822013,17.713995,18.243010,19.502934,0.0684062276,8.004534
116,3.64266586,18.597147,18.035899,19.502934,0.0679183975,6.803932
117,3.71984277,17.663043,17.949603,19.502934,0.0674286024,7.659170
118,3.70019762,18.240489,19.899896,19.899896,0.0669368960,7.849442
119,3.69913758,18.070652,19.779082,19.899896,0.0664433323,7.981841
120,3.64788282,17.934783,19.899896,19.899896,0.0659479655,7.955746
121,3.68326326,18.580163,19.054194,19.899896,0.0654508497,7.338778
122,3.63930222,18.902853,20.400414,20.400414,0.0649520396,8.026811
123,3.68482140,18.563179,19.986193,20.400414,0.0644515898,7.584393
124,3.63156566,18.478261,20.900932,20.900932,0.0639495553,8.045349
125,3.61139072,18.563179,18.501899,20.900932,0.0634459910,7.739094
126,3.62419882,19.021739,19.710045,20.900932,0.0629409523,7.452877
127,3.60900136,19.276495,19.623749,20.900932,0.0624344944,6.873626
128,3.57574262,20.006793,19.710045,20.900932,0.0619266729,7.919487
129,3.61312779,19.582201,20.417673,20.900932,0.0614175435,8.025371
130,3.61627138,19.599185,20.210563,20.900932,0.0609071621,7.366194
131,3.59272659,19.225543,19.002416,20.900932,0.0603955845,7.266247
132,3.56219866,19.701087,20.469451,20.900932,0.0598828670,6.770687
133,3.55722607,20.448370,20.590266,20.900932,0.0593690657,6.736967
134,3.56472213,20.889946,18.916120,20.900932,0.0588542370,6.718849
135,3.52727184,21.076766,22.178115,22.178115,0.0583384373,6.796245
136,3.49055817,21.807065,22.506041,22.506041,0.0578217233,7.514040
137,3.53138896,20.754076,19.433897,22.506041,0.0573041514,6.877281
138,3.49925983,20.703125,19.968933,22.506041,0.0567857786,6.742582
139,3.51686829,20.872962,21.953745,22.506041,0.0562666617,6.739324
140,3.51653091,21.807065,22.298930,22.506041,0.0557468575,6.780411
141,3.46624408,22.282609,22.730411,22.730411,0.0552264232,7.623503
142,3.48184255,21.722147,21.280635,22.730411,0.0547054157,6.201516
143,3.48434080,22.044837,20.918191,22.730411,0.0541838922,7.252609
144,3.39828330,22.911005,21.936486,22.730411,0.0536619099,6.397036
145,3.45094390,21.925951,22.471522,22.730411,0.0531395260,7.192583
146,3.47704118,21.875000,22.350708,22.730411,0.0526167978,7.958160
147,3.38754677,23.335598,23.317225,23.317225,0.0520937827,7.193861
148,3.42413024,22.978940,22.626855,23.317225,0.0515705380,7.729781
149,3.43891457,22.401495,24.283742,24.283742,0.0510471210,6.462255
150,3.42264648,22.010870,23.955816,24.283742,0.0505235892,6.174029
151,3.38684517,23.488451,21.850190,24.283742,0.0500000000,6.140443
152,3.38911082,22.639266,23.593372,24.283742,0.0494764108,6.156501
153,3.43666926,22.180707,21.660338,24.283742,0.0489528790,6.801326
154,3.35059745,24.711277,22.540559,24.283742,0.0484294620,6.749052
155,3.36166649,24.218750,23.800483,24.283742,0.0479062173,6.120606
156,3.37313718,23.862092,22.989299,24.283742,0.0473832022,6.796267
157,3.31175054,24.830163,25.319296,25.319296,0.0468604740,6.810963
158,3.35983584,24.422554,24.301001,25.319296,0.0463380901,6.971476
159,3.30273602,24.609375,22.540559,25.319296,0.0458161078,6.175770
160,3.36666512,23.352582,24.231964,25.319296,0.0452945843,6.169332
161,3.35277644,24.252717,22.471522,25.319296,0.0447735768,6.598600
162,3.28802957,25.033967,24.836037,25.319296,0.0442531425,7.839190
163,3.33545207,24.626359,27.304108,27.304108,0.0437333383,7.955934
164,3.24889101,25.628397,23.282706,27.304108,0.0432142214,7.785710
165,3.28458140,25.747283,23.835002,27.304108,0.0426958486,8.168918
166,3.31914191,24.677310,24.594408,27.304108,0.0421782767,6.774616
167,3.24325635,26.171875,24.784260,27.304108,0.0416615627,7.215665
168,3.24040948,25.968071,25.112185,27.304108,0.0411457630,6.576673
169,3.25408299,25.985054,25.923369,27.304108,0.0406309343,7.163069
170,3.22929101,26.307745,24.231964,27.304108,0.0401171330,7.143551
171,3.23173794,26.647418,24.715223,27.304108,0.0396044155,7.898948
172,3.22175840,25.968071,25.284777,27.304108,0.0390928379,7.780068
173,3.26715400,24.983016,26.078702,27.304108,0.0385824565,7.108510
174,3.22935566,26.630435,26.527442,27.304108,0.0380733271,6.682531
175,3.21302714,26.443614,24.715223,27.304108,0.0375655056,7.460844
176,3.22144530,26.205842,25.975147,27.304108,0.0370590477,7.559388
177,3.17589075,26.698370,26.475664,27.304108,0.0365540090,6.416579
178,3.22402111,26.137908,24.473593,27.304108,0.0360504447,6.387887
179,3.18572578,27.105978,24.939593,27.304108,0.0355484102,5.967453
180,3.15344574,27.530571,26.924405,27.304108,0.0350479604,7.450740
181,3.11076085,28.464674,24.525371,27.304108,0.0345491503,6.603137
182,3.15921717,27.088995,24.956852,27.304108,0.0340520345,6.406851
183,3.15168559,27.462636,26.113221,27.304108,0.0335566677,7.140942
184,3.13357750,27.819293,26.544701,27.304108,0.0330631040,7.648009
185,3.14523402,28.175951,26.389368,27.304108,0.0325713976,7.249117
186,3.05252077,29.704484,26.889886,27.304108,0.0320816025,8.324337
187,3.11057341,28.294837,27.114256,27.304108,0.0315937724,8.168598
188,3.05700281,29.025136,28.046255,28.046255,0.0311079607,7.968888
189,3.07317729,28.702446,26.734553,28.046255,0.0306242207,7.611657
190,3.04167363,29.194973,27.493959,28.046255,0.0301426055,7.919243
191,3.07784922,29.296875,27.856403,28.046255,0.0296631678,7.715452
192,3.07865476,28.770380,27.166034,28.046255,0.0291859604,7.573074
