epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
48,0.26362359,93.699597,81.360028,81.515361,0.0086981555,13.389369
49,0.29361151,92.926747,80.272696,81.515361,0.0086448431,13.040031
50,0.28494461,93.514785,80.220918,81.515361,0.0085906315,13.514963
51,0.28348507,93.565188,80.548844,81.515361,0.0085355339,14.206021
52,0.24523472,94.539651,80.358992,81.515361,0.0084795640,13.406554
53,0.26512677,93.682796,81.549879,81.549879,0.0084227355,13.947391
54,0.29178391,92.809140,80.824991,81.549879,0.0083650626,13.397232
55,0.24972606,94.035618,80.514325,81.549879,0.0083065593,13.385380
56,0.27590692,93.464382,81.360028,81.549879,0.0082472402,13.593983
57,0.25356044,94.119624,81.325509,81.549879,0.0081871199,13.591341
58,0.25187414,93.934812,80.997584,81.549879,0.0081262133,12.742975
59,0.26215232,93.716398,81.636175,81.636175,0.0080645353,12.866802
60,0.24374972,94.186828,81.273731,81.636175,0.0080021011,13.199427
61,0.26403337,93.598790,80.911288,81.636175,0.0079389263,13.315906
62,0.25711641,93.867608,81.187435,81.636175,0.0078750263,13.121784
63,0.26534493,93.632392,81.118398,81.636175,0.0078104169,13.418679
64,0.23700171,94.304435,81.653435,81.653435,0.0077451141,13.174254
65,0.24934475,94.438844,81.377287,81.653435,0.0076791340,13.329493
66,0.24802898,94.422043,81.170176,81.653435,0.0076124928,12.970148
67,0.24138913,94.304435,80.738695,81.653435,0.0075452071,13.536216
68,0.23691315,94.119624,81.532620,81.653435,0.0074772933,13.225801
69,0.23000606,94.438844,81.187435,81.653435,0.0074087684,13.239319
70,0.22278981,94.674059,81.221954,81.653435,0.0073396491,13.346308
71,0.21901763,95.043683,81.532620,81.653435,0.0072699525,13.920393
72,0.22894147,94.506048,81.342768,81.653435,0.0071996958,13.473816
73,0.21219779,95.077285,81.187435,81.653435,0.0071288965,12.761937
74,0.23273463,94.522849,81.360028,81.653435,0.0070575718,12.379828
75,0.22992497,94.354839,81.532620,81.653435,0.0069857395,13.551672
76,0.21094360,94.791667,81.463583,81.653435,0.0069134172,13.317889
77,0.22749885,94.522849,82.033138,82.033138,0.0068406228,12.969472
78,0.23740488,94.321237,81.204695,82.033138,0.0067673742,12.447383
79,0.24069970,94.657258,81.877805,82.033138,0.0066936896,12.868020
80,0.20857898,95.094086,80.980324,82.033138,0.0066195871,12.605872
81,0.20782481,94.976478,81.273731,82.033138,0.0065450850,12.325047
