epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
62,0.25711641,93.867608,81.187435,81.636175,0.0078750263,12.543423
63,0.26534493,93.632392,81.118398,81.636175,0.0078104169,12.397572
64,0.23700171,94.304435,81.653435,81.653435,0.0077451141,12.400146
65,0.24934475,94.438844,81.377287,81.653435,0.0076791340,12.304110
66,0.24802898,94.422043,81.170176,81.653435,0.0076124928,12.501716
67,0.24138913,94.304435,80.738695,81.653435,0.0075452071,12.444896
68,0.23691315,94.119624,81.532620,81.653435,0.0074772933,12.263203
69,0.23000606,94.438844,81.187435,81.653435,0.0074087684,12.466300
70,0.22278981,94.674059,81.221954,81.653435,0.0073396491,12.409685
71,0.21901763,95.043683,81.532620,81.653435,0.0072699525,12.274043
72,0.22894147,94.506048,81.342768,81.653435,0.0071996958,12.364890
73,0.21219779,95.077285,81.187435,81.653435,0.0071288965,12.490832
74,0.23273463,94.522849,81.360028,81.653435,0.0070575718,12.294256
75,0.22992497,94.354839,81.532620,81.653435,0.0069857395,12.506484
76,0.21094360,94.791667,81.463583,81.653435,0.0069134172,12.392687
77,0.22749885,94.522849,82.033138,82.033138,0.0068406228,12.585593
78,0.23740488,94.321237,81.204695,82.033138,0.0067673742,12.434503
79,0.24069970,94.657258,81.877805,82.033138,0.0066936896,12.448514
80,0.20857898,95.094086,80.980324,82.033138,0.0066195871,12.606535
81,0.20782481,94.976478,81.273731,82.033138,0.0065450850,12.549542
82,0.21010465,95.110887,81.636175,82.033138,0.0064702016,12.378707
83,0.21977970,95.060484,81.221954,82.033138,0.0063949555,12.403149
84,0.21066770,95.110887,81.826027,82.033138,0.0063193652,12.490208
85,0.19876607,95.346102,82.274767,82.274767,0.0062434494,12.550122
86,0.19849583,95.329301,81.774249,82.274767,0.0061672268,12.401952
87,0.20082579,95.245296,81.342768,82.274767,0.0060907162,12.473849
88,0.18630681,95.581317,81.532620,82.274767,0.0060139365,12.557220
