epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
91,0.78627019,80.040323,43.769417,44.735934,0.0057821723,12.173917
92,0.77644406,81.048387,43.579565,44.735934,0.0057045062,11.808065
93,0.76688887,81.132392,43.527787,44.735934,0.0056266662,11.748850
94,0.74090621,81.703629,45.098378,45.098378,0.0055486716,11.151094
95,0.70135903,82.358871,43.942009,45.098378,0.0054705416,11.754400
96,0.75914154,82.039651,44.649638,45.098378,0.0053922955,11.590258
97,0.70305315,82.812500,44.252675,45.098378,0.0053139526,12.744937
98,0.68614312,83.014113,43.476010,45.098378,0.0052355323,13.001051
99,0.67980769,83.434140,44.649638,45.098378,0.0051570538,12.354321
100,0.67580348,83.988575,44.684156,45.098378,0.0050785366,11.507952
101,0.64675338,84.492608,45.719710,45.719710,0.0050000000,12.165134
102,0.68009815,83.602151,44.062824,45.719710,0.0049214634,13.488209
103,0.64266390,84.744624,45.944080,45.944080,0.0048429462,12.311748
104,0.64753297,84.408602,44.028305,45.944080,0.0047644677,13.058471
105,0.61094055,85.248656,44.304453,45.944080,0.0046860474,12.987257
106,0.57940201,86.223118,44.580601,45.944080,0.0046077045,13.832875
107,0.58854191,85.803091,44.925785,45.944080,0.0045294584,13.542117
108,0.61041325,85.181452,45.650673,45.944080,0.0044513284,13.285014
109,0.56746349,86.105511,45.219192,45.944080,0.0043733338,13.143091
110,0.54875639,86.458333,47.583707,47.583707,0.0042954938,13.399818
111,0.55503893,86.088710,46.202969,47.583707,0.0042178277,14.041125
112,0.55633242,86.525538,44.960304,47.583707,0.0041403545,13.613736
113,0.51849056,87.449597,45.875043,47.583707,0.0040630934,13.271164
114,0.51555543,87.298387,46.979634,47.583707,0.0039860635,13.785145
115,0.55002165,87.012769,45.547118,47.583707,0.0039092838,13.767216
116,0.49739139,88.289651,46.410079,47.583707,0.0038327732,13.810477
117,0.52535078,87.298387,45.667932,47.583707,0.0037565506,13.359052
118,0.53005572,87.550403,46.582672,47.583707,0.0036806348,11.410410
119,0.46863072,88.709677,45.736969,47.583707,0.0036050445,12.795747
120,0.49600001,88.625672,45.270970,47.583707,0.0035297984,11.726403
121,0.46956601,88.743280,47.290300,47.583707,0.0034549150,13.687723
122,0.49230418,88.726478,46.962375,47.583707,0.0033804129,13.562857
123,0.46366377,88.474462,46.876079,47.583707,0.0033063104,11.506885
124,0.46814977,88.944892,47.273041,47.583707,0.0032326258,12.529491
125,0.42941013,90.188172,46.548153,47.583707,0.0031593772,12.637608
126,0.41010206,90.104167,47.497411,47.583707,0.0030865828,12.448412
127,0.42551306,89.885753,45.788747,47.583707,0.0030142605,11.887175
128,0.45228362,89.045699,46.306524,47.583707,0.0029424282,12.000621
129,0.42098479,90.171371,46.341042,47.583707,0.0028711035,13.889592
130,0.41483888,89.936156,47.238523,47.583707,0.0028003042,13.356620
131,0.43732849,89.415323,47.704522,47.704522,0.0027300475,13.531081
132,0.40230748,90.456989,46.513635,47.704522,0.0026603509,13.038529
133,0.39597703,90.490591,46.910597,47.704522,0.0025912316,12.057737
134,0.39290523,90.540995,47.790818,47.790818,0.0025227067,11.729319
135,0.39464894,91.145833,47.808077,47.808077,0.0024547929,12.740784
136,0.40579625,90.641801,47.756300,47.808077,0.0023875072,12.465936
137,0.36273523,91.364247,47.204004,47.808077,0.0023208660,13.450253
138,0.36718878,91.532258,47.083190,47.808077,0.0022548859,13.310596
139,0.38866570,90.977823,48.308595,48.308595,0.0021895831,13.265731
140,0.38531387,90.893817,46.789783,48.308595,0.0021249737,13.283288
141,0.35551074,91.784274,47.134967,48.308595,0.0020610737,13.282317
142,0.35310109,91.801075,47.704522,48.308595,0.0019978989,13.136692
143,0.36975964,91.414651,47.152226,48.308595,0.0019354647,12.472846
144,0.36324618,91.733871,47.359337,48.308595,0.0018737867,12.416418
145,0.33500129,91.834677,47.359337,48.308595,0.0018128801,12.940890
146,0.34657071,91.834677,46.945116,48.308595,0.0017527598,12.325394
147,0.35549801,91.784274,47.031412,48.308595,0.0016934407,11.880997
148,0.32908473,92.036290,47.928892,48.308595,0.0016349374,12.173547
149,0.32628878,92.590726,47.842596,48.308595,0.0015772645,11.592161
150,0.33893035,92.170699,47.514670,48.308595,0.0015204360,13.147918
151,0.32973733,92.355511,47.928892,48.308595,0.0014644661,12.018579
152,0.31334885,92.624328,47.549189,48.308595,0.0014093685,13.306590
153,0.33026059,92.271505,46.513635,48.308595,0.0013551569,11.587380
154,0.31122613,93.044355,47.652744,48.308595,0.0013018445,11.844440
155,0.32618270,92.573925,46.996893,48.308595,0.0012494447,11.979079
156,0.29999696,93.111559,46.927856,48.308595,0.0011979702,13.256187
157,0.30322751,92.893145,46.668968,48.308595,0.0011474338,12.986290
158,0.30076910,93.128360,47.842596,48.308595,0.0010978480,12.545490
159,0.29261866,93.750000,47.117708,48.308595,0.0010492249,13.580323
160,0.29711083,93.380376,47.583707,48.308595,0.0010015767,13.247083
